,TD,MD,ED,NE,DA,MA,TA,,
SAI1,0,0,1,4,2,2,4,,
SAI2,0,0,0,2,4,2,5,,
SAI3,0,0,1,2,3,3,4,,TD=TOTALMENTE EN DESACUERDO
SAI4,0,0,2,1,3,3,4,,MD= MUY EN DESACUERDO
SAI5,1,0,3,0,7,2,0,,ED= EN DESACUERDO
SAO1,0,3,2,0,2,4,2,,NE= NEUTRO
SAO2,0,1,2,1,6,3,0,,DA= DE ACUERDO
SAO3,0,0,3,1,8,1,0,,MA= MUY DE ACUERDO
SAO4,1,2,2,1,4,1,2,,TA= TOTALMENTE DE ACUERDO
EI1,1,1,5,3,2,0,1,,
EI2,6,2,3,1,0,0,1,,
EI3,2,2,7,0,2,0,0,,
EC1,0,1,5,2,1,2,2,,
EC2,0,1,6,2,1,1,2,,
EC3,8,1,2,1,1,0,0,,
EC4,1,0,5,3,0,1,3,,
OEO1,2,1,1,1,6,1,1,,
OEO2,2,1,4,1,5,0,0,,
OEO3,2,3,8,0,0,0,0,,
OEO4,3,4,4,0,2,0,0,,
OEO5,1,3,4,2,3,0,0,,
OEO6,1,6,2,3,0,0,1,,
OED1,0,1,3,2,7,0,0,,
OED2,2,1,4,1,4,0,1,,
OED3,2,0,4,2,4,0,1,,
OED4,1,1,4,1,5,0,1,,
OED5,1,0,5,1,6,0,0,,
