EVA,TD,MD,ED,NE,DA,MA,TA,HOSPITAL,ID
SAI1,3,0,0,8,2,1,3,CSB,0
SAI2,0,0,0,1,2,1,13,CSB,0
SAI3,0,1,0,2,3,1,10,CSB,0
SAI4,0,1,2,1,1,4,8,CSB,0
SAI5,0,1,1,4,2,1,7,CSB,0
SAO1,2,1,6,6,0,1,1,CSB,0
SAO2,1,0,3,3,4,5,1,CSB,0
SAO3,2,0,1,4,1,2,7,CSB,0
SAO4,0,1,6,2,4,1,3,CSB,0
EI1,3,0,4,3,6,0,1,CSB,0
EI2,2,0,2,5,7,1,0,CSB,0
EI3,0,0,3,4,7,3,0,CSB,0
EC1,1,0,0,0,3,1,12,CSB,0
EC2,1,0,0,0,4,1,11,CSB,0
EC3,1,0,3,6,7,0,0,CSB,0
EC4,2,1,2,3,7,0,2,CSB,0
OEO1,0,0,1,3,6,7,0,CSB,0
OEO2,0,2,1,4,5,5,0,CSB,0
OEO3,0,1,3,3,9,0,1,CSB,0
OEO4,3,1,4,3,5,0,1,CSB,0
OEO5,4,0,5,5,3,0,0,CSB,0
OEO6,8,1,1,5,2,0,0,CSB,0
OED1,0,0,1,1,7,6,2,CSB,0
OED2,0,0,3,0,9,0,5,CSB,0
OED3,0,0,4,1,8,4,0,CSB,0
OED4,0,0,2,3,6,5,1,CSB,0
OED5,0,0,5,0,6,3,3,CSB,0
SAI1,0,0,0,1,2,2,4,CSBA,1
SAI2,0,0,0,1,2,0,6,CSBA,1
SAI3,0,0,0,1,3,1,4,CSBA,1
SAI4,0,0,1,2,2,0,4,CSBA,1
SAI5,0,1,1,0,6,0,1,CSBA,1
SAO1,0,0,1,1,4,2,1,CSBA,1
SAO2,0,0,1,1,3,1,3,CSBA,1
SAO3,0,1,0,1,5,1,1,CSBA,1
SAO4,0,0,0,0,6,2,1,CSBA,1
EI1,0,1,3,3,0,1,1,CSBA,1
EI2,4,0,3,2,0,0,0,CSBA,1
EI3,5,0,1,0,3,0,0,CSBA,1
EC1,0,1,3,2,1,0,2,CSBA,1
EC2,0,1,4,2,0,1,1,CSBA,1
EC3,6,1,1,0,1,0,0,CSBA,1
EC4,1,1,3,3,0,1,0,CSBA,1
