,TD,MD,ED,NE,DA,MA,TA,,
SAI1,0,0,2,2,4,0,1,,
SAI2,0,0,0,1,1,3,4,,
SAI3,0,0,0,0,2,4,3,,TD=TOTALMENTE EN DESACUERDO
SAI4,0,0,1,0,3,0,5,,MD= MUY EN DESACUERDO
SAI5,0,0,0,1,5,3,0,,ED= EN DESACUERDO
SAO1,0,0,3,2,4,0,0,,NE= NEUTRO
SAO2,0,2,4,2,1,0,0,,DA= DE ACUERDO
SAO3,0,0,6,1,2,0,0,,MA= MUY DE ACUERDO
SAO4,0,0,0,0,4,4,1,,TA= TOTALMENTE DE ACUERDO
EI1,0,0,1,0,1,2,5,,
EI2,0,4,4,0,1,0,0,,
EI3,0,0,0,3,1,4,1,,
EC1,1,2,3,3,0,0,0,,
EC2,1,4,2,0,2,0,0,,
EC3,3,2,4,0,0,0,0,,
EC4,0,3,5,0,1,0,0,,
OEO1,1,1,1,4,1,0,1,,
OEO2,1,0,5,0,2,0,1,,
OEO3,2,0,3,1,0,1,2,,
OEO4,4,2,2,0,0,0,1,,
OEO5,4,2,3,0,0,0,0,,
OEO6,6,1,2,0,0,0,0,,
OED1,7,0,1,0,1,0,0,,
OED2,5,0,1,1,1,1,0,,
OED3,0,2,0,2,1,3,1,,
OED4,0,2,1,2,0,3,1,,
OED5,0,0,1,2,4,2,0,,
